Experimento,Épocas,Train Acc,Val Acc,Best Val Acc,Overfitting Gap,Estado
EXP1_BASICO,50,0.9646,0.8988,0.8992,0.0658,✅ COMPLETADO
EXP2_BALANCEADO,50,0.9689,0.8966,0.8975,0.0723,✅ COMPLETADO
EXP3_AVANZADO,50,0.9784,0.8917,0.8972,0.0867,✅ COMPLETADO
EXP4_REGULARIZADO,48,0.9749,0.8917,0.8992,0.0832,✅ COMPLETADO
